"","n_samples","HVGs","PCA","preprocess","harmony","clustering"
"1","2",0.265289545059204,3.22113227844238,0.00207781791687012,9.86236381530762,429.158697843552
"2","3",0.304972648620605,3.33914184570312,0.0035712718963623,13.1359903812408,564.841217517853
"3","4",0.330629825592041,4.04957461357117,0.00214409828186035,18.9058480262756,762.633057832718
"4","5",0.39846134185791,5.09947824478149,0.00215911865234375,30.8028016090393,928.340171575546
"5","6",0.408284425735474,6.0158269405365,0.00198245048522949,34.9295682907104,1077.29825592041
"6","7",0.429927349090576,7.01718282699585,0.000884056091308594,25.1453502178192,1244.7225496769
"7","8",0.475256204605103,8.28634190559387,0.000901460647583008,28.1122958660126,1433.5091547966
"8","9",0.530049085617065,10.196789264679,0.00203323364257812,33.4902136325836,1603.03586959839
"9","10",0.596190690994263,12.9569034576416,0.000997304916381836,32.7890462875366,1754.7238547802
"10","11",0.625618696212769,13.8946602344513,0.000873088836669922,43.0132205486298,1927.14008998871
"11","12",0.666374683380127,13.9191384315491,0.000891923904418945,43.8123936653137,2082.00727176666
"12","2",0.253947019577026,1.7312912940979,0.0360853672027588,7.35081243515015,365.902058601379
"13","2",0.251477956771851,1.80505681037903,0.00222897529602051,7.61774063110352,366.476843595505
"14","2",0.247588634490967,1.74527025222778,0.00231742858886719,7.81418371200562,366.384200811386
"15","2",0.249109029769897,1.72993469238281,0.00232481956481934,8.73067426681519,366.889021396637
"16","3",0.30539345741272,3.3965904712677,0.00192475318908691,12.8873291015625,562.835902690887
"17","3",0.303713083267212,3.35104179382324,0.0007476806640625,12.2848966121674,567.937323570251
"18","3",0.304187297821045,3.30556488037109,0.000719785690307617,12.2951095104218,569.918307542801
"19","3",0.30415153503418,3.39389538764954,0.000788211822509766,14.2303683757782,571.69393157959
"20","4",0.32347846031189,4.08287739753723,0.00185322761535645,19.438677072525,760.559785604477
"21","4",0.326187133789062,3.82128500938416,0.000727653503417969,18.5246477127075,766.02993273735
"22","4",0.322450160980225,3.99218153953552,0.000760078430175781,18.3154287338257,767.340330123901
"23","4",0.329231739044189,3.91658854484558,0.000774383544921875,18.4977803230286,770.181586027145
"24","5",0.388329744338989,5.05707979202271,0.000898122787475586,30.437059879303,919.828528881073
"25","5",0.381473779678345,5.45143365859985,0.000880718231201172,30.8097815513611,924.647537231445
"26","5",0.378737449645996,5.21918129920959,0.000807046890258789,32.5186970233917,928.053708553314
"27","5",0.380980253219604,4.99418520927429,0.00072479248046875,31.04545378685,922.777983188629
"28","6",0.413022994995117,5.81742644309998,0.000815868377685547,36.4063663482666,1062.3696308136
"29","6",0.409145832061768,5.86417865753174,0.000763654708862305,32.6475615501404,1060.37634325027
"30","6",0.411492347717285,6.326007604599,0.000956058502197266,34.0045113563538,1076.19608664513
"31","6",0.442712545394897,12.8856875896454,0.000903844833374023,45.8544399738312,1144.45663356781
"32","7",0.434168815612793,8.59554409980774,0.000946998596191406,24.9912259578705,1239.72973060608
"33","7",0.432567358016968,7.52057695388794,0.000829935073852539,24.8811531066895,1239.91042542458
"34","7",0.437523126602173,7.45709228515625,0.000835657119750977,26.4930951595306,1241.72879362106
"35","7",0.435425758361816,7.60293054580688,0.00211882591247559,24.0030226707458,1240.77357435226
"36","8",0.476858615875244,8.95381259918213,0.000909090042114258,29.4637217521667,1415.62102079391
"37","8",0.473953008651733,8.4388427734375,0.00102090835571289,29.2839498519897,1416.80125331879
"38","8",0.474443197250366,9.20401501655579,0.00106668472290039,28.8349144458771,1414.27234268188
"39","8",0.478708267211914,9.78324604034424,0.000934123992919922,30.0706758499146,1424.0427107811
"40","9",0.519298315048218,10.2442669868469,0.00092005729675293,33.3969376087189,1574.25302672386
"41","9",0.529281377792358,10.2272644042969,0.00102043151855469,33.4025886058807,1577.41132831573
"42","9",0.523654937744141,10.0894868373871,0.000869274139404297,30.8671097755432,1585.92830872536
"43","9",0.519106149673462,10.5500719547272,0.00102901458740234,30.7525305747986,1576.667958498
"44","10",0.590359210968018,12.2310016155243,0.000965356826782227,33.1648907661438,1724.24994921684
"45","10",0.58076548576355,11.6954023838043,0.000863075256347656,35.9282288551331,1734.35004758835
"46","10",0.579007863998413,12.5033631324768,0.000870943069458008,34.4406003952026,1740.22979283333
"47","10",0.582293748855591,12.5836825370789,0.000975608825683594,35.3413014411926,1741.58926486969
"48","11",0.610059261322021,14.0213623046875,0.00160098075866699,39.516880273819,1902.26328039169
"49","11",0.609299659729004,14.343679189682,0.000997066497802734,37.1011066436768,1908.60443353653
"50","11",0.613792419433594,13.7035074234009,0.000967979431152344,37.8850331306458,1908.35445928574
"51","11",0.610151529312134,13.7294828891754,0.000856399536132812,39.2192358970642,1930.29110360146
"52","12",0.64394998550415,14.4046232700348,0.000944852828979492,42.2153768539429,2046.23281288147
"53","12",0.65156626701355,13.4471578598022,0.00101399421691895,44.0316321849823,2037.32134461403
"54","12",0.646620512008667,14.3527882099152,0.00118470191955566,42.6295127868652,2062.42669487
"55","12",0.649080514907837,13.870400428772,0.000840187072753906,42.1412703990936,2071.58294415474
