"","V1","V2","V3","V4","V5"
"151507 500 hvg",0.217600542275211,0.309023525797032,0.18697081967819,0.247431767615218,0.341207549955255
"151507 1000 hvg",0.315391937426781,0.283696731069577,0.241476926426197,0.287515047370007,0.24760051794433
"151507 2000 hvg",0.341790404790067,0.352103017905787,0.331782573720796,0.392820967820636,0.333207757426755
"151507 5000 hvg",0.474916105698086,0.433335207254541,0.465826459735155,0.459039383162464,0.505054218845816
"151507 500 svg",0.438959526628611,0.444316333675087,0.439068806214891,0.44825748578065,0.46531925380683
"151507 1000 svg",0.443966319950656,0.470111563496275,0.44929332109061,0.441116496927698,0.503636348916305
"151507 2000 svg",0.525106723254644,0.496029491046503,0.466620465898308,0.469370887022664,0.47034166286852
"151507 5000 svg",0.474916105698086,0.433335207254541,0.465826459735155,0.459039383162464,0.505054218845816
"151672 500 hvg",0.274285764364757,0.274403040356094,0.273420604767363,0.390032500184948,0.27274721672159
"151672 1000 hvg",0.390546038944914,0.493634580138949,0.56698592159473,0.493634580138949,0.479398943176512
"151672 2000 hvg",0.708459277061458,0.514129811590954,0.513896829574775,0.514367137907373,0.526374051645801
"151672 5000 hvg",0.704335456678075,0.575372606158783,0.563095405975652,0.567150826171759,0.569114768327237
"151672 500 svg",0.589692013186761,0.42686159568951,0.446764283562572,0.566060251317251,0.56419795487822
"151672 1000 svg",0.574665452634948,0.737953380654026,0.562923513562931,0.555249948397114,0.565868166858093
"151672 2000 svg",0.580915496659929,0.575952834335016,0.574576429764442,0.574576043852445,0.574576043852445
"151672 5000 svg",0.704335456678075,0.575372606158783,0.563095405975652,0.567150826171759,0.569114768327237
"151673 500 hvg",0.303460403852201,0.291680991172546,0.37820558353323,0.304349663165681,0.276090935100927
"151673 1000 hvg",0.447385041772967,0.416764426168548,0.445884148227137,0.473449464584332,0.390596644080058
"151673 2000 hvg",0.50067534135632,0.468065535816427,0.465789954058268,0.497537170507044,0.435299240798917
"151673 5000 hvg",0.47153880440262,0.466260575288715,0.524777355346203,0.496501463688018,0.487035665029554
"151673 500 svg",0.47110589130921,0.473650904883534,0.470826462723487,0.388756049304241,0.462534516326433
"151673 1000 svg",0.43222879264183,0.49808274943421,0.551556234363391,0.427337740464874,0.500808097362974
"151673 2000 svg",0.495222494727423,0.499887964248292,0.491595602561835,0.514201300636114,0.500073461513887
"151673 5000 svg",0.47153880440262,0.466260575288715,0.524777355346203,0.496501463688018,0.487035665029554
