"","n_samples","HVGs","clustering"
"1","1",9.65183138847351,43.3830847740173
"2","2",9.79071021080017,87.0195374488831
"3","1",9.19868779182434,45.5885803699493
"4","3",11.1686489582062,114.587970733643
"5","1",9.16699767112732,44.9073448181152
"6","5",11.1978566646576,139.101767778397
"7","4",11.0764632225037,164.36651802063
"8","2",9.41346383094788,81.6187155246735
"9","6",11.5209138393402,164.713970899582
"10","1",9.12962460517883,44.5811865329742
"11","7",12.1920032501221,170.324919462204
"12","3",10.0784585475922,123.648780822754
"13","1",9.54148983955383,44.9655826091766
"14","8",13.6973798274994,217.99413728714
"15","2",9.43853259086609,76.7810063362122
"16","1",9.07994318008423,41.8975610733032
"17","5",11.2102208137512,144.469611644745
"18","4",11.2104480266571,151.156596183777
"19","10",14.3133828639984,304.427576541901
"20","2",9.5046443939209,79.3169915676117
"21","9",14.1160891056061,317.022923231125
"22","1",9.28626561164856,44.9177548885345
"23","6",11.4607181549072,173.052892208099
"24","7",12.3722665309906,162.163001060486
"25","3",9.94700717926025,123.365883350372
"26","11",15.2478847503662,351.717683553696
"27","1",9.1692590713501,46.3047497272491
"28","2",9.43125700950623,78.2628965377808
"29","8",13.3629534244537,185.619518041611
"30","5",11.0227227210999,135.616152048111
"31","12",16.2317862510681,403.650469064713
"32","1",9.64614796638489,45.5553662776947
"33","4",10.5785150527954,151.217704296112
"34","3",10.2655434608459,117.936327934265
"35","1",9.04103970527649,43.7711164951324
"36","2",9.44383955001831,81.7506189346313
"37","6",11.4263446331024,167.216456413269
"38","7",12.6151480674744,171.328078508377
"39","9",14.3081574440002,208.159068346024
"40","5",10.9797246456146,143.532388687134
"41","2",8.97116589546204,80.4644446372986
"42","3",10.055507183075,125.307424783707
"43","4",10.6461293697357,158.872652053833
"44","10",14.4140129089355,305.862697601318
"45","8",14.177316904068,212.505884170532
"46","2",9.02599215507507,78.0833165645599
"47","7",13.108231306076,179.737024784088
"48","6",11.9481604099274,189.547398090363
"49","5",10.8049919605255,140.110673189163
"50","3",10.0306575298309,113.485545158386
"51","11",14.9765858650208,361.009016990662
"52","9",14.4182569980621,197.991210699081
"53","2",9.31081986427307,81.9359409809113
"54","12",15.3759710788727,356.780676364899
"55","4",11.7598676681519,160.23547911644
"56","8",13.5069801807404,189.513927698135
"57","2",9.23706817626953,77.3470959663391
"58","3",9.97676205635071,114.671736717224
"59","5",11.2706935405731,129.128823041916
"60","6",11.6855249404907,166.489888906479
"61","7",12.5877859592438,195.419978618622
"62","4",11.7370023727417,150.316795349121
"63","10",15.268100976944,321.171638727188
"64","9",14.041699886322,210.028736352921
"65","3",10.0683217048645,112.696291923523
"66","5",10.9246003627777,133.261950492859
"67","6",11.3331906795502,171.343957662582
"68","8",13.5327808856964,225.442491054535
"69","11",15.6382863521576,340.594516992569
"70","7",12.4069516658783,172.5899310112
"71","3",9.92414736747742,116.030391931534
"72","4",11.5920085906982,144.89505815506
"73","5",10.7580673694611,143.214615345001
"74","9",13.6464178562164,199.4004778862
"75","12",15.6256759166718,384.782651424408
"76","3",10.0894086360931,121.063702583313
"77","6",11.6068923473358,176.649702787399
"78","7",12.6520717144012,150.612736940384
"79","4",11.6008532047272,152.475583076477
"80","8",13.4909427165985,187.730920314789
"81","5",10.7704749107361,128.998802185059
"82","10",15.0588247776031,319.894446611404
"83","9",14.4997444152832,218.424621582031
"84","7",12.4431517124176,159.607609033585
"85","6",11.5945842266083,174.997066020966
"86","5",11.1098775863647,142.615442991257
"87","11",15.6364319324493,349.161356687546
"88","4",11.898054599762,170.295508623123
"89","8",13.0779190063477,191.014295578003
"90","12",15.7327091693878,384.278385162354
"91","7",12.5231380462646,154.666114807129
"92","4",10.6525907516479,147.985779762268
"93","10",15.1456296443939,319.772772550583
"94","9",14.5133781433105,211.889225482941
"95","6",11.54438829422,196.985475540161
"96","8",13.1511723995209,212.841388702393
"97","7",12.3638179302216,167.230528116226
"98","11",15.7038094997406,331.524162054062
"99","6",11.8532223701477,162.764750242233
"100","9",13.8053855895996,204.094364404678
"101","10",14.498598575592,300.477032661438
"102","8",13.0788867473602,235.171158313751
"103","12",16.0607576370239,371.477749824524
"104","9",14.2075626850128,215.016288757324
"105","11",15.3545937538147,342.648057937622
"106","8",13.0134463310242,208.085752248764
"107","10",14.6245670318604,313.825231075287
"108","9",14.394745349884,201.512486934662
"109","12",16.16978931427,388.186825275421
"110","11",15.3251583576202,350.554406166077
"111","10",15.3175208568573,328.866978645325
"112","12",15.7675399780273,384.202802658081
"113","11",15.0937798023224,342.831206560135
"114","10",14.7171425819397,312.939049482346
"115","12",16.6969494819641,408.499162197113
"116","11",15.3088827133179,330.208092689514
"117","10",14.8054509162903,316.003052473068
"118","11",15.1939051151276,354.310656070709
"119","12",15.9742765426636,400.851049184799
"120","12",15.5269258022308,388.843517303467
